galaxy,predeclared_rank,required_field,source_hint,field_status,uses_vobs_or_residual,endpoint_scores_allowed,claim_boundary,field_status_after_halo_acquisition,source_value,source_reference,endpoint_scores_allowed_after_halo_acquisition
IC4202,3,PV/envelope notes,HI velocity-field or PV/envelope-tracing source,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,False,False,ugc12506_beta_closure_transfer_predeclaration_not_endpoint,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,,,False
IC4202,3,independent replay freeze,freeze beta_cl before endpoint scoring,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,False,False,ugc12506_beta_closure_transfer_predeclaration_not_endpoint,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,,,False
NGC0891,4,lambda_spin,literature halo/spin or HIghMass-like dynamical modelling,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,False,False,ugc12506_beta_closure_transfer_predeclaration_not_endpoint,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,,,False
NGC0891,4,chi2_NFW,source-native dark-matter halo fit table,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,False,False,ugc12506_beta_closure_transfer_predeclaration_not_endpoint,FILLED_FROM_LI2020_VIZIER,3.46,"Li et al. 2020, ApJS 247, 31; VizieR J/ApJS/247/31",False
NGC0891,4,chi2_ISO,same source-native halo fit table as chi2_NFW,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,False,False,ugc12506_beta_closure_transfer_predeclaration_not_endpoint,FILLED_FROM_LI2020_VIZIER,4.24,"Li et al. 2020, ApJS 247, 31; VizieR J/ApJS/247/31",False
NGC0891,4,PV/envelope notes,HI velocity-field or PV/envelope-tracing source,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,False,False,ugc12506_beta_closure_transfer_predeclaration_not_endpoint,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,,,False
NGC0891,4,independent replay freeze,freeze beta_cl before endpoint scoring,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,False,False,ugc12506_beta_closure_transfer_predeclaration_not_endpoint,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,,,False
NGC4013,5,lambda_spin,literature halo/spin or HIghMass-like dynamical modelling,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,False,False,ugc12506_beta_closure_transfer_predeclaration_not_endpoint,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,,,False
NGC4013,5,chi2_NFW,source-native dark-matter halo fit table,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,False,False,ugc12506_beta_closure_transfer_predeclaration_not_endpoint,FILLED_FROM_LI2020_VIZIER,0.81,"Li et al. 2020, ApJS 247, 31; VizieR J/ApJS/247/31",False
NGC4013,5,chi2_ISO,same source-native halo fit table as chi2_NFW,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,False,False,ugc12506_beta_closure_transfer_predeclaration_not_endpoint,FILLED_FROM_LI2020_VIZIER,0.84,"Li et al. 2020, ApJS 247, 31; VizieR J/ApJS/247/31",False
NGC4013,5,PV/envelope notes,HI velocity-field or PV/envelope-tracing source,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,False,False,ugc12506_beta_closure_transfer_predeclaration_not_endpoint,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,,,False
NGC4013,5,independent replay freeze,freeze beta_cl before endpoint scoring,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,False,False,ugc12506_beta_closure_transfer_predeclaration_not_endpoint,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,,,False
NGC2841,6,lambda_spin,literature halo/spin or HIghMass-like dynamical modelling,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,False,False,ugc12506_beta_closure_transfer_predeclaration_not_endpoint,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,,,False
NGC2841,6,chi2_NFW,source-native dark-matter halo fit table,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,False,False,ugc12506_beta_closure_transfer_predeclaration_not_endpoint,FILLED_FROM_LI2020_VIZIER,1.48,"Li et al. 2020, ApJS 247, 31; VizieR J/ApJS/247/31",False
NGC2841,6,chi2_ISO,same source-native halo fit table as chi2_NFW,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,False,False,ugc12506_beta_closure_transfer_predeclaration_not_endpoint,FILLED_FROM_LI2020_VIZIER,1.58,"Li et al. 2020, ApJS 247, 31; VizieR J/ApJS/247/31",False
NGC2841,6,PV/envelope notes,HI velocity-field or PV/envelope-tracing source,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,False,False,ugc12506_beta_closure_transfer_predeclaration_not_endpoint,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,,,False
NGC2841,6,independent replay freeze,freeze beta_cl before endpoint scoring,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,False,False,ugc12506_beta_closure_transfer_predeclaration_not_endpoint,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,,,False
NGC4157,7,lambda_spin,literature halo/spin or HIghMass-like dynamical modelling,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,False,False,ugc12506_beta_closure_transfer_predeclaration_not_endpoint,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,,,False
NGC4157,7,chi2_NFW,source-native dark-matter halo fit table,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,False,False,ugc12506_beta_closure_transfer_predeclaration_not_endpoint,FILLED_FROM_LI2020_VIZIER,0.49,"Li et al. 2020, ApJS 247, 31; VizieR J/ApJS/247/31",False
NGC4157,7,chi2_ISO,same source-native halo fit table as chi2_NFW,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,False,False,ugc12506_beta_closure_transfer_predeclaration_not_endpoint,FILLED_FROM_LI2020_VIZIER,0.45,"Li et al. 2020, ApJS 247, 31; VizieR J/ApJS/247/31",False
NGC4157,7,PV/envelope notes,HI velocity-field or PV/envelope-tracing source,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,False,False,ugc12506_beta_closure_transfer_predeclaration_not_endpoint,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,,,False
NGC4157,7,independent replay freeze,freeze beta_cl before endpoint scoring,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,False,False,ugc12506_beta_closure_transfer_predeclaration_not_endpoint,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,,,False
NGC4217,8,lambda_spin,literature halo/spin or HIghMass-like dynamical modelling,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,False,False,ugc12506_beta_closure_transfer_predeclaration_not_endpoint,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,,,False
NGC4217,8,chi2_NFW,source-native dark-matter halo fit table,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,False,False,ugc12506_beta_closure_transfer_predeclaration_not_endpoint,FILLED_FROM_LI2020_VIZIER,3.74,"Li et al. 2020, ApJS 247, 31; VizieR J/ApJS/247/31",False
NGC4217,8,chi2_ISO,same source-native halo fit table as chi2_NFW,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,False,False,ugc12506_beta_closure_transfer_predeclaration_not_endpoint,FILLED_FROM_LI2020_VIZIER,2.23,"Li et al. 2020, ApJS 247, 31; VizieR J/ApJS/247/31",False
NGC4217,8,PV/envelope notes,HI velocity-field or PV/envelope-tracing source,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,False,False,ugc12506_beta_closure_transfer_predeclaration_not_endpoint,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,,,False
NGC4217,8,independent replay freeze,freeze beta_cl before endpoint scoring,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,False,False,ugc12506_beta_closure_transfer_predeclaration_not_endpoint,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,,,False
NGC0801,9,lambda_spin,literature halo/spin or HIghMass-like dynamical modelling,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,False,False,ugc12506_beta_closure_transfer_predeclaration_not_endpoint,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,,,False
NGC0801,9,chi2_NFW,source-native dark-matter halo fit table,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,False,False,ugc12506_beta_closure_transfer_predeclaration_not_endpoint,FILLED_FROM_LI2020_VIZIER,6.77,"Li et al. 2020, ApJS 247, 31; VizieR J/ApJS/247/31",False
NGC0801,9,chi2_ISO,same source-native halo fit table as chi2_NFW,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,False,False,ugc12506_beta_closure_transfer_predeclaration_not_endpoint,FILLED_FROM_LI2020_VIZIER,7.07,"Li et al. 2020, ApJS 247, 31; VizieR J/ApJS/247/31",False
NGC0801,9,PV/envelope notes,HI velocity-field or PV/envelope-tracing source,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,False,False,ugc12506_beta_closure_transfer_predeclaration_not_endpoint,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,,,False
NGC0801,9,independent replay freeze,freeze beta_cl before endpoint scoring,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,False,False,ugc12506_beta_closure_transfer_predeclaration_not_endpoint,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,,,False
NGC3521,10,lambda_spin,literature halo/spin or HIghMass-like dynamical modelling,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,False,False,ugc12506_beta_closure_transfer_predeclaration_not_endpoint,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,,,False
NGC3521,10,chi2_NFW,source-native dark-matter halo fit table,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,False,False,ugc12506_beta_closure_transfer_predeclaration_not_endpoint,FILLED_FROM_LI2020_VIZIER,0.25,"Li et al. 2020, ApJS 247, 31; VizieR J/ApJS/247/31",False
NGC3521,10,chi2_ISO,same source-native halo fit table as chi2_NFW,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,False,False,ugc12506_beta_closure_transfer_predeclaration_not_endpoint,FILLED_FROM_LI2020_VIZIER,0.2,"Li et al. 2020, ApJS 247, 31; VizieR J/ApJS/247/31",False
NGC3521,10,PV/envelope notes,HI velocity-field or PV/envelope-tracing source,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,False,False,ugc12506_beta_closure_transfer_predeclaration_not_endpoint,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,,,False
NGC3521,10,independent replay freeze,freeze beta_cl before endpoint scoring,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,False,False,ugc12506_beta_closure_transfer_predeclaration_not_endpoint,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,,,False
NGC7331,11,lambda_spin,literature halo/spin or HIghMass-like dynamical modelling,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,False,False,ugc12506_beta_closure_transfer_predeclaration_not_endpoint,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,,,False
NGC7331,11,chi2_NFW,source-native dark-matter halo fit table,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,False,False,ugc12506_beta_closure_transfer_predeclaration_not_endpoint,FILLED_FROM_LI2020_VIZIER,0.81,"Li et al. 2020, ApJS 247, 31; VizieR J/ApJS/247/31",False
NGC7331,11,chi2_ISO,same source-native halo fit table as chi2_NFW,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,False,False,ugc12506_beta_closure_transfer_predeclaration_not_endpoint,FILLED_FROM_LI2020_VIZIER,0.95,"Li et al. 2020, ApJS 247, 31; VizieR J/ApJS/247/31",False
NGC7331,11,PV/envelope notes,HI velocity-field or PV/envelope-tracing source,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,False,False,ugc12506_beta_closure_transfer_predeclaration_not_endpoint,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,,,False
NGC7331,11,independent replay freeze,freeze beta_cl before endpoint scoring,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,False,False,ugc12506_beta_closure_transfer_predeclaration_not_endpoint,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,,,False
